run_id,name,state,metrics,created_at,dataset,dpddm.temp,model.hidden_dim,model.mid_layers,model.kernel_size,model.mid_channels,dpddm.data_sample_size,model.reg_weight_factor,_runtime,_step,_timestamp,train_acc,train_loss,val_acc,val_loss,Phi-mean,Phi-med,Phi-std,dr_ood,dr_test,dr_train,fpr_id,fpr_train,tpr,_wandb.runtime
5xlt8f7k,glamorous-sweep-648,finished,"{'Phi-mean': 0.19251999360322952, 'Phi-med': 0.19999998807907104, 'Phi-std': 0.035020701571912054, '_runtime': 1317.3319580554962, '_step': 52, '_timestamp': 1740491913.527818, '_wandb': {'runtime': 1317}, 'dr_ood': [0.23579999446868896, 0.0401292906619868], 'dr_test': [0.1935999944061041, 0.040583739957058475], 'dr_train': [0.19359999433159827, 0.03761701619820125], 'fpr_id': 0.08, 'fpr_train': 0.07, 'tpr': 0.32, 'train_acc': 0.85095, 'train_loss': 2.250594758605957, 'val_acc': 0.8092157643312102, 'val_loss': 0.5804060355872865}",2025-02-25T13:36:23Z,cifar10,1,128,3,5,256,50,100,1317.3319580554962,52.0,1740491913.527818,0.85095,2.250594758605957,0.8092157643312102,0.5804060355872865,0.19251999360322952,0.19999998807907104,0.035020701571912054,"[0.23579999446868896, 0.0401292906619868]","[0.1935999944061041, 0.040583739957058475]","[0.19359999433159827, 0.03761701619820125]",0.08,0.07,0.32,1317.0
x2hcca3r,toasty-sweep-647,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:36:17Z,cifar10,10,256,4,5,256,50,100,,,,,,,,,,,,,,,,,16.0
iuf0omf1,volcanic-sweep-646,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:35:33Z,cifar10,1,256,2,7,128,50,100,,,,,,,,,,,,,,,,,15.0
k3i80jqf,major-sweep-645,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:35:02Z,cifar10,100,512,2,3,512,50,10,,,,,,,,,,,,,,,,,16.0
sac82lku,blooming-sweep-644,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:34:31Z,cifar10,1,512,3,5,512,50,1000,,,,,,,,,,,,,,,,,16.0
6xefr52s,faithful-sweep-643,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:34:00Z,cifar10,1,512,4,5,512,50,100,,,,,,,,,,,,,,,,,16.0
20p4gcuk,good-sweep-642,crashed,"{'_runtime': 3353.941946744919, '_step': 20, '_timestamp': 1740493784.1937296, 'train_acc': 0.72045, 'train_loss': 0.9371254522323608, 'val_acc': 0.7099920382165605, 'val_loss': 0.8416803017923027}",2025-02-25T13:33:31Z,cifar10,10,256,4,5,512,50,1,3353.941946744919,20.0,1740493784.1937296,0.72045,0.9371254522323608,0.7099920382165605,0.8416803017923027,,,,,,,,,,
xnbssdnf,atomic-sweep-641,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:33:29Z,cifar10,10,256,4,7,512,50,100,,,,,,,,,,,,,,,,,16.0
opzsx279,rare-sweep-640,crashed,"{'_runtime': 3383.3289637565613, '_step': 19, '_timestamp': 1740493799.9790895, 'train_acc': 0.686875, 'train_loss': 32.043690856933594, 'val_acc': 0.7171576433121019, 'val_loss': 1.182394845470501}",2025-02-25T13:33:25Z,cifar10,10,256,4,5,512,50,1000,3383.3289637565613,19.0,1740493799.9790895,0.686875,32.043690856933594,0.7171576433121019,1.182394845470501,,,,,,,,,,
dxzs0zb5,decent-sweep-639,finished,"{'Phi-mean': 0.09315999730676412, 'Phi-med': 0.08999999612569809, 'Phi-std': 0.028263304294464987, '_runtime': 1101.0816314220428, '_step': 52, '_timestamp': 1740491472.1626904, '_wandb': {'runtime': 1100}, 'dr_ood': [0.12419999729841948, 0.029297781786798933], 'dr_test': [0.08599999733269215, 0.027349587887591675], 'dr_train': [0.09499999709427356, 0.02439262167952458], 'fpr_id': 0.06, 'fpr_train': 0.1, 'tpr': 0.42, 'train_acc': 0.8902, 'train_loss': 0.5058534771919251, 'val_acc': 0.837281050955414, 'val_loss': 0.5555589760944342}",2025-02-25T13:32:31Z,cifar10,10,256,3,5,128,50,1,1101.0816314220428,52.0,1740491472.1626904,0.8902,0.5058534771919251,0.837281050955414,0.5555589760944342,0.09315999730676412,0.08999999612569809,0.028263304294464987,"[0.12419999729841948, 0.029297781786798933]","[0.08599999733269215, 0.027349587887591675]","[0.09499999709427356, 0.02439262167952458]",0.06,0.1,0.42,1100.0
87c9g0z5,comfy-sweep-638,finished,"{'Phi-mean': 0.14591999633610248, 'Phi-med': 0.14000000059604645, 'Phi-std': 0.03215203735533942, '_runtime': 2258.8370876312256, '_step': 52, '_timestamp': 1740492553.2653227, '_wandb': {'runtime': 2258}, 'dr_ood': [0.1895999936014414, 0.0320599423447645], 'dr_test': [0.14179999627172946, 0.032507843640364735], 'dr_train': [0.14639999635517598, 0.03135346679965073], 'fpr_id': 0.08, 'fpr_train': 0.09, 'tpr': 0.51, 'train_acc': 0.88735, 'train_loss': 0.8575439789772034, 'val_acc': 0.8338972929936306, 'val_loss': 0.5327791963603087}",2025-02-25T13:31:23Z,cifar10,10,128,3,5,256,50,10,2258.8370876312256,52.0,1740492553.2653227,0.88735,0.8575439789772034,0.8338972929936306,0.5327791963603087,0.14591999633610248,0.14000000059604645,0.03215203735533942,"[0.1895999936014414, 0.0320599423447645]","[0.14179999627172946, 0.032507843640364735]","[0.14639999635517598, 0.03135346679965073]",0.08,0.09,0.51,2258.0
cs4gopdq,peachy-sweep-637,finished,"{'Phi-mean': 0.15143999594449997, 'Phi-med': 0.1599999964237213, 'Phi-std': 0.033685698466404464, '_runtime': 1222.9294691085815, '_step': 52, '_timestamp': 1740491513.497488, '_wandb': {'runtime': 1222}, 'dr_ood': [0.20439999423921107, 0.040848989666306824], 'dr_test': [0.1503999961167574, 0.030262846782829495], 'dr_train': [0.1555999958142638, 0.0350519595573683], 'fpr_id': 0.06, 'fpr_train': 0.16, 'tpr': 0.62, 'train_acc': 0.899375, 'train_loss': 6.870849535369873, 'val_acc': 0.8573845541401274, 'val_loss': 0.457493286793399}",2025-02-25T13:31:22Z,cifar10,10,512,4,5,128,50,100,1222.9294691085815,52.0,1740491513.497488,0.899375,6.870849535369873,0.8573845541401274,0.457493286793399,0.15143999594449997,0.1599999964237213,0.033685698466404464,"[0.20439999423921107, 0.040848989666306824]","[0.1503999961167574, 0.030262846782829495]","[0.1555999958142638, 0.0350519595573683]",0.06,0.16,0.62,1222.0
4kuqz7fd,swift-sweep-636,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:30:37Z,cifar10,100,256,3,3,256,50,10,,,,,,,,,,,,,,,,,15.0
t6jonche,dandy-sweep-635,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:30:06Z,cifar10,10,512,4,5,1024,50,100,,,,,,,,,,,,,,,,,16.0
asfjzoan,fearless-sweep-634,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:29:35Z,cifar10,100,128,3,3,1024,50,10,,,,,,,,,,,,,,,,,16.0
g3xrpisj,trim-sweep-633,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:29:04Z,cifar10,100,256,3,5,512,50,100,,,,,,,,,,,,,,,,,15.0
6tsg2x8n,worldly-sweep-632,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:28:33Z,cifar10,1,256,3,5,128,50,10,,,,,,,,,,,,,,,,,15.0
35gsqyez,lyric-sweep-631,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:27:51Z,cifar10,1000,512,3,5,128,50,10,,,,,,,,,,,,,,,,,16.0
z3sqxnui,fallen-sweep-630,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:27:20Z,cifar10,10,128,2,3,128,50,1,,,,,,,,,,,,,,,,,15.0
46big850,resilient-sweep-629,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:26:49Z,cifar10,10,256,4,5,256,50,100,,,,,,,,,,,,,,,,,15.0
wok9c48f,exalted-sweep-628,failed,{'_wandb': {'runtime': 16}},2025-02-25T13:26:18Z,cifar10,10,512,2,5,256,50,1000,,,,,,,,,,,,,,,,,16.0
qk39vai7,jolly-sweep-627,finished,"{'Phi-mean': 0.4845199877023697, 'Phi-med': 0.47999998927116394, 'Phi-std': 0.036589199275895073, '_runtime': 1092.0317046642303, '_step': 52, '_timestamp': 1740491060.4711626, '_wandb': {'runtime': 1091}, 'dr_ood': [0.5499999836087227, 0.04093897903042269], 'dr_test': [0.4867999863624573, 0.03733309219084007], 'dr_train': [0.4891999873518944, 0.0363780133207256], 'fpr_id': 0.17, 'fpr_train': 0.12, 'tpr': 0.75, 'train_acc': 0.79735, 'train_loss': 63.74365514526367, 'val_acc': 0.7835390127388535, 'val_loss': 0.8948427977835297}",2025-02-25T13:25:52Z,cifar10,10,512,3,3,256,50,1000,1092.0317046642303,52.0,1740491060.4711626,0.79735,63.74365514526367,0.7835390127388535,0.8948427977835297,0.4845199877023697,0.47999998927116394,0.036589199275895073,"[0.5499999836087227, 0.04093897903042269]","[0.4867999863624573, 0.03733309219084007]","[0.4891999873518944, 0.0363780133207256]",0.17,0.12,0.75,1091.0
9r2knuza,wandering-sweep-626,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:25:47Z,cifar10,100,256,4,5,512,50,10,,,,,,,,,,,,,,,,,15.0
ek7tez14,earthy-sweep-625,failed,{'_wandb': {'runtime': 15}},2025-02-25T13:24:27Z,cifar10,1000,256,4,3,256,50,100,,,,,,,,,,,,,,,,,15.0
