run_id,name,state,metrics,created_at,dataset,dpddm.temp,model.hidden_dim,model.mid_layers,model.kernel_size,model.mid_channels,dpddm.data_sample_size,model.reg_weight_factor,Phi-mean,Phi-med,Phi-std,_runtime,_step,_timestamp,dr_ood,dr_test,dr_train,fpr_id,fpr_train,tpr,train_acc,train_loss,val_acc,val_loss,_wandb.runtime
a8ehgqbe,visionary-sweep-1048,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:41:59Z,cifar10,1000,128,2,7,128,100,1,,,,,,,,,,,,,,,,,15.0
aoxvvtek,glad-sweep-1047,crashed,{},2025-02-26T14:41:45Z,cifar10,100,512,2,3,512,100,10,,,,,,,,,,,,,,,,,
exclqcp5,effortless-sweep-1046,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:41:28Z,cifar10,1000,256,4,5,128,100,100,,,,,,,,,,,,,,,,,15.0
niijem76,morning-sweep-1045,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:40:58Z,cifar10,1000,256,4,7,128,100,1,,,,,,,,,,,,,,,,,15.0
yrhobrcn,crisp-sweep-1044,crashed,"{'_runtime': 380.5902776718139, '_step': 8, '_timestamp': 1740581229.9775507, 'train_acc': 0.55725, 'train_loss': 64.21279215087891, 'val_acc': 0.6217157643312102, 'val_loss': 1.5232357454907364}",2025-02-26T14:40:35Z,cifar10,100,512,4,7,256,100,1000,,,,380.5902776718139,8.0,1740581229.9775507,,,,,,,0.55725,64.21279215087891,0.6217157643312102,1.5232357454907364,
a77qkx6k,hopeful-sweep-1043,failed,{'_wandb': {'runtime': 16}},2025-02-26T14:40:17Z,cifar10,10,512,4,7,512,100,10,,,,,,,,,,,,,,,,,16.0
1csftvbh,fearless-sweep-1042,crashed,"{'_runtime': 1911.8022651672363, '_step': 31, '_timestamp': 1740582697.412641, 'train_acc': 0.81945, 'train_loss': 1.3737422101974488, 'val_acc': 0.8107085987261147, 'val_loss': 0.5600632068457877}",2025-02-26T14:39:30Z,cifar10,10,256,3,3,512,100,10,,,,1911.8022651672363,31.0,1740582697.412641,,,,,,,0.81945,1.3737422101974488,0.8107085987261147,0.5600632068457877,
k2vw05bk,sandy-sweep-1041,failed,{'_wandb': {'runtime': 17}},2025-02-26T14:39:06Z,cifar10,1,128,3,5,512,100,1,,,,,,,,,,,,,,,,,17.0
dl3kmc06,scarlet-sweep-1040,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:38:35Z,cifar10,10,128,4,5,256,100,10,,,,,,,,,,,,,,,,,15.0
hiqsxfz0,true-sweep-1039,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:38:04Z,cifar10,1000,256,2,5,512,100,1000,,,,,,,,,,,,,,,,,15.0
ovpw2ay4,dauntless-sweep-1038,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:37:33Z,cifar10,10,256,4,5,256,100,1000,,,,,,,,,,,,,,,,,15.0
3653jf3y,prime-sweep-1037,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:37:02Z,cifar10,10,512,3,5,1024,100,10,,,,,,,,,,,,,,,,,15.0
